category,name,url,location,description,type,source,phone,email,address
Food & Culinary Operators,Bangkok Food Tours,https://www.bangkokfoodtours.com/,Bangkok,Authentic join-in and private food culture tours,,,,,
Food & Culinary Operators,Silom Thai Cooking School,https://www.bangkokthaicooking.com/,Bangkok,Hands-on Thai cooking classes,,,,,
Food & Culinary Operators,Baipai Thai Cooking School,https://www.baipai.com/,Bangkok,Premium cooking school in garden setting,,,,,
Food & Culinary Operators,Blue Elephant Cooking School,https://www.blueelephant.com/,Bangkok,Royal Thai cuisine cooking classes,,,+66 2 673 9353,bangkok@blueelephant.com,"233 South Sathorn Road, Yannawa, Sathorn, Bangkok 10120"
Food & Culinary Operators,Manohra Cruises,https://www.manohracruises.com/,Bangkok,Traditional rice barge dining cruise,,,,,
Food & Culinary Operators,Chiang Mai Cooking Class,https://www.chiangmaicookingclass.com/,Chiang Mai,Thai cooking class with market tour,,,,,
Food & Culinary Operators,Thai Farm Cooking School,https://www.thaifarmcooking.com/,Chiang Mai,Organic farm cooking experience,,,,,
Food & Culinary Operators,Pantawan Cooking Class,https://www.pantawancooking.com/,Chiang Mai,Home-style cooking in traditional house,,,,,
Food & Culinary Operators,Mama Noi Cooking Class,https://www.mamanoi.com/,Chiang Mai,Small group hands-on cooking classes,,,,,
Food & Culinary Operators,Asia Scenic Cooking Class,https://www.asiascenic.com/,Chiang Mai,Cooking class with market tour included,,,,,
Food & Culinary Operators,Phuket Thai Cooking Academy,https://www.phuketthaicookingacademy.com/,Phuket,Cooking school with garden ingredients,,,,,
Food & Culinary Operators,Blue Elephant Phuket,https://www.blueelephant.com/phuket/,Phuket,Royal Thai cuisine in historic mansion,,,,,
Food & Culinary Operators,Sompong Thai Cooking School,https://www.sompongthaicookingschool.com/,Bangkok,Authentic Thai cooking experience,,,,,
Food & Culinary Operators,Issaya Cooking Studio,https://www.issaya.com/,Bangkok,Celebrity chef cooking classes,,,,,
Food & Culinary Operators,Baan Thai Cookery School,https://www.baanthaicookery.com/,Chiang Mai,Traditional Thai cooking classes,,,,,
Food & Culinary Operators,Samui Institute of Thai Culinary Arts,https://www.sitca.net/,Koh Samui,Professional culinary training and classes,,,,,
Food & Culinary Operators,Time For Lime,https://www.timeforlime.net/,Koh Lanta,Cooking class supporting local community,,,,,
Food & Culinary Operators,Courageous Kitchen,https://www.courageouskitchen.org/,Bangkok,Social enterprise cooking tours,,,,,
Food & Culinary Operators,Mark Wiens Thailand Tours,https://migrationology.com/,Bangkok,Famous food vlogger's guided food tours,,,,,
Food & Culinary Operators,A Chef's Tour Bangkok,https://www.achefstour.com/,Bangkok,Guided food tours by local chefs,,,,,
Food & Culinary Operators,Doi Chaang Coffee Tour,https://www.doichaangcoffee.com/,Chiang Rai,Coffee plantation tour and tasting,,,,,
Food & Culinary Operators,Bo.Lan Restaurant,https://www.bolan.co.th/,Bangkok,Michelin-star sustainable Thai dining,,,,,
Food & Culinary Operators,Nahm Restaurant,https://www.comohotels.com/,Bangkok,Award-winning refined Thai cuisine,,,,,
Food & Culinary Operators,Le Du Restaurant,https://www.ledubkk.com/,Bangkok,"Modern Thai fine dining, Asia's Best",,,,,
Food & Culinary Operators,Paste Bangkok,https://www.pastebangkok.com/,Bangkok,Progressive Thai cuisine restaurant,,,,,
Food & Culinary Operators,80/20 Restaurant,https://www.8020bkk.com/,Bangkok,Progressive Thai dining using local ingredients,,,,,
Food & Culinary Operators,Err Urban Rustic Thai,https://www.errbkk.com/,Bangkok,Rustic Thai street food dining,,,,,
